name,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,FPS4,FPS5
Jonas Valančiūnas,4886,P,12.8,8.2,3.3,0.3,0.2,2.2,26.89,39.9,17.9,37.6,19.799999999999997,19.6
Richaun Holmes,5497,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Malcolm Brogdon,5667,P,,,,,,,0.0,,,,,
Kyle Kuzma,5840,P,17.0,7.0,3.7,0.3,0.3,2.3,30.45,,,,,
Marvin Bagley III,5959,P,4.2,3.2,0.2,0.0,0.2,0.6,8.34,1.2,3.2,4.4,17.2,15.7
Jordan Poole,6216,P,22.5,1.2,5.0,2.8,1.2,3.0,40.44,49.7,33.5,45.1,37.7,32.2
Saddiq Bey,6411,P,,,,,,,0.0,,,,,
Anthony Gill,6471,P,0.5,0.0,0.5,0.3,0.0,0.3,1.85,,,,,
Corey Kispert,6557,P,10.2,3.2,1.7,0.3,0.2,0.7,17.39,14.5,11.1,20.2,29.3,13.2
Jared Butler,6582,P,5.6,0.6,2.4,0.6,0.2,0.4,11.92,11.5,10.0,6.4,19.7,12.0
Justin Champagnie,6632,P,0.0,2.0,1.0,0.0,0.0,0.0,3.9,,,,,
Johnny Davis,6700,P,3.4,1.6,0.4,0.2,0.0,0.2,6.32,5.0,21.9,0.0,4.7,0.0
Patrick Baldwin Jr.,6718,P,4.3,1.0,0.3,0.3,0.3,0.0,7.75,,,,,
Tristan Vukcevic,10078,P,,,,,,,0.0,,,,,
Bilal Coulibaly,10099,P,17.7,5.8,2.5,1.0,0.2,2.2,29.81,13.8,34.6,49.3,27.9,28.7
Kyshawn George,10272,P,7.7,4.2,2.7,1.0,1.3,1.0,22.69,35.2,27.1,28.4,8.9,22.8
Carlton Carrington,10273,P,10.3,4.3,4.8,0.8,0.3,1.3,24.66,35.1,32.8,30.2,21.6,16.4
Alex Sarr,10294,P,9.8,7.0,1.7,0.5,2.8,0.7,29.95,34.2,39.7,34.0,27.299999999999997,29.7
Marcus Smart,5317,P,5.6,2.2,2.8,1.2,0.6,1.4,16.44,2.7,27.3,20.5,12.2,19.5
Luke Kennard,5825,P,6.0,1.0,2.0,0.0,0.0,0.0,10.2,,,,,
Jaren Jackson Jr.,6015,P,19.6,5.1,0.9,1.3,1.4,1.7,33.47,36.7,28.5,49.2,19.0,41.8
Ja Morant,6164,P,20.6,5.0,9.1,0.6,0.3,4.3,38.65,33.3,41.5,43.2,59.0,35.1
Brandon Clarke,6209,P,5.1,2.7,0.7,0.8,0.1,0.3,11.79,9.6,9.5,11.2,12.4,24.1
John Konchar,6255,P,5.0,4.7,1.0,0.7,0.7,0.7,15.64,,,,,
Desmond Bane,6422,P,18.8,5.4,2.8,1.0,0.6,1.8,32.48,15.2,43.4,27.4,36.6,39.8
Santi Aldama,6572,P,12.6,8.1,3.4,0.6,0.6,1.6,29.42,32.9,21.7,36.6,32.8,10.6
Jay Huff,6617,P,10.0,2.7,1.0,0.2,1.2,0.6,18.34,21.6,7.4,30.5,9.9,3.0
Jake LaRavia,6709,P,8.0,5.8,3.9,0.7,0.2,1.3,22.21,33.0,26.0,10.4,32.5,19.9
Vince Williams Jr.,6737,P,,,,,,,0.0,,,,,
Scotty Pippen Jr.,6757,P,11.7,3.6,6.4,1.1,0.4,2.6,27.52,29.200000000000003,21.3,37.3,21.1,11.0
GG Jackson II,10070,P,,,,,,,0.0,,,,,
Colin Castleton,10147,P,0.0,0.0,0.0,0.0,0.3,0.0,0.9,,,,,
Zach Edey,10287,P,10.8,6.6,0.4,0.4,0.8,1.2,21.72,13.399999999999999,50.9,26.5,24.6,18.9
Cam Spencer,10327,P,,,,,,,0.0,,,,,
Jaylen Wells,10340,P,10.9,3.7,1.8,0.3,0.2,1.0,18.54,27.1,18.5,23.0,24.9,15.2
Yuki Kawamura,10415,P,0.3,0.0,0.2,0.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,-1.0
Jeff Green,4247,P,2.5,0.5,0.5,0.5,0.0,0.0,5.35,,,,,
Steven Adams,5163,P,3.3,3.0,2.0,0.3,0.0,0.7,10.1,,,,,
