ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4901,Tobias,Harris,SF,DET,CHA,DET@CHA,7:00PM EST,30,29.6," "," "
nba.p.5194,Tim,Hardaway Jr.,SG,DET,CHA,DET@CHA,7:00PM EST,19,17.2," "," "
nba.p.5650,Malik,Beasley,SG,DET,CHA,DET@CHA,7:00PM EST,14,16.5," "," "
nba.p.6408,Isaiah,Stewart,PF,DET,CHA,DET@CHA,7:00PM EST,16,19.2," "," "
nba.p.6450,Paul,Reed,C,DET,CHA,DET@CHA,7:00PM EST,17,9.3," "," "
nba.p.6512,Cade,Cunningham,PG,DET,CHA,DET@CHA,7:00PM EST,36,41.6," "," "
nba.p.6695,Jaden,Ivey,SG,DET,CHA,DET@CHA,7:00PM EST,27,31.2," "," "
nba.p.6703,Jalen,Duren,C,DET,CHA,DET@CHA,7:00PM EST,27,28.8," "," "
nba.p.6716,Wendell,Moore Jr.,PG,DET,CHA,DET@CHA,7:00PM EST,10,1.2," "," "
nba.p.6749,Alondes,Williams,PG,DET,CHA,DET@CHA,7:00PM EST,10,1.0," "," "
nba.p.6766,Simone,Fontecchio,PF,DET,CHA,DET@CHA,7:00PM EST,13,10.3," "," "
nba.p.6799,Cole,Swider,C,DET,CHA,DET@CHA,7:00PM EST,10,3.1," "," "
nba.p.10096,Ausar,Thompson,SF,DET,CHA,DET@CHA,7:00PM EST,18,24.0,INJ," "
nba.p.10114,Marcus,Sasser,SG,DET,CHA,DET@CHA,7:00PM EST,10,3.2," "," "
nba.p.10263,Ron,Holland II,SF,DET,CHA,DET@CHA,7:00PM EST,11,11.7," "," "
nba.p.10316,Daniss,Jenkins,PG,DET,CHA,DET@CHA,7:00PM EST,10,0.0," "," "
nba.p.10331,Bobi,Klintman,PF,DET,CHA,DET@CHA,7:00PM EST,10,0.0,INJ," "
nba.p.4631,Taj,Gibson,C,CHA,DET,DET@CHA,7:00PM EST,10,9.8," "," "
nba.p.5245,Seth,Curry,SG,CHA,DET,DET@CHA,7:00PM EST,12,15.2," "," "
nba.p.5363,Vasilije,Micic,PG,CHA,DET,DET@CHA,7:00PM EST,16,7.9," "," "
nba.p.6023,Miles,Bridges,PF,CHA,DET,DET@CHA,7:00PM EST,36,26.3," "," "
nba.p.6210,Grant,Williams,PF,CHA,DET,DET@CHA,7:00PM EST,18,19.4," "," "
nba.p.6224,Cody,Martin,SG,CHA,DET,DET@CHA,7:00PM EST,15,20.1,GTD," "
nba.p.6276,DaQuan,Jeffries,SG,CHA,DET,DET@CHA,7:00PM EST,10,2.1,INJ," "
