,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
0,nba.p.4246,Mike,Conley,PG,MIN,CHI,MIN@CHI,8:00PM EST,25,21.7, , 
1,nba.p.5197,Rudy,Gobert,C,MIN,CHI,MIN@CHI,8:00PM EST,36,28.9, , 
2,nba.p.5318,Julius,Randle,PF,MIN,CHI,MIN@CHI,8:00PM EST,38,35.6, , 
3,nba.p.5393,Joe,Ingles,SF,MIN,CHI,MIN@CHI,8:00PM EST,12,2.7, , 
4,nba.p.5886,PJ,Dozier,SF,MIN,CHI,MIN@CHI,8:00PM EST,10,4.1, , 
5,nba.p.6028,Donte,DiVincenzo,SG,MIN,CHI,MIN@CHI,8:00PM EST,22,21.8, , 
6,nba.p.6205,Nickeil,Alexander-Walker,SG,MIN,CHI,MIN@CHI,8:00PM EST,14,17.4, , 
7,nba.p.6253,Naz,Reid,C,MIN,CHI,MIN@CHI,8:00PM EST,27,27.5, , 
8,nba.p.6355,Anthony,Edwards,SG,MIN,CHI,MIN@CHI,8:00PM EST,46,39.2, , 
9,nba.p.6420,Jaden,McDaniels,SF,MIN,CHI,MIN@CHI,8:00PM EST,24,18.1, , 
10,nba.p.6594,Luka,Garza,C,MIN,CHI,MIN@CHI,8:00PM EST,10,2.4, , 
11,nba.p.6626,Daishen,Nix,PG,MIN,CHI,MIN@CHI,8:00PM EST,11,3.3, , 
12,nba.p.6735,Josh,Minott,SF,MIN,CHI,MIN@CHI,8:00PM EST,10,4.8, , 
13,nba.p.10050,Leonard,Miller,SF,MIN,CHI,MIN@CHI,8:00PM EST,10,3.7, , 
14,nba.p.10086,Jaylen,Clark,SG,MIN,CHI,MIN@CHI,8:00PM EST,10,0.0, , 
15,nba.p.10280,Terrence,Shannon Jr.,SG,MIN,CHI,MIN@CHI,8:00PM EST,14,-1.0, , 
16,nba.p.10281,Rob,Dillingham,PG,MIN,CHI,MIN@CHI,8:00PM EST,17,4.5, , 
17,nba.p.10387,Jesse,Edwards,C,MIN,CHI,MIN@CHI,8:00PM EST,10,0.0, , 
18,nba.p.4897,Nikola,Vucevic,C,CHI,MIN,MIN@CHI,8:00PM EST,36,41.7, , 
19,nba.p.5324,Zach,LaVine,SF,CHI,MIN,MIN@CHI,8:00PM EST,28,33.6,GTD, 
20,nba.p.5764,Lonzo,Ball,PG,CHI,MIN,MIN@CHI,8:00PM EST,14,13.4,INJ, 
21,nba.p.5893,Torrey,Craig,PF,CHI,MIN,MIN@CHI,8:00PM EST,10,1.2, , 
22,nba.p.6043,Jevon,Carter,SG,CHI,MIN,MIN@CHI,8:00PM EST,10,6.0, , 
23,nba.p.6169,Coby,White,PG,CHI,MIN,MIN@CHI,8:00PM EST,32,32.0, , 
24,nba.p.6234,Talen,Horton-Tucker,SG,CHI,MIN,MIN@CHI,8:00PM EST,13,8.7, , 
25,nba.p.6396,Patrick,Williams,SF,CHI,MIN,MIN@CHI,8:00PM EST,16,19.0, , 
26,nba.p.6402,Jalen,Smith,C,CHI,MIN,MIN@CHI,8:00PM EST,14,17.7, , 
27,nba.p.6548,Josh,Giddey,SG,CHI,MIN,MIN@CHI,8:00PM EST,28,31.2, , 
28,nba.p.6555,Chris,Duarte,SF,CHI,MIN,MIN@CHI,8:00PM EST,10,6.1, , 
29,nba.p.6580,Ayo,Dosunmu,PG,CHI,MIN,MIN@CHI,8:00PM EST,22,22.5, , 
30,nba.p.6651,DJ,Steward,PG,CHI,MIN,MIN@CHI,8:00PM EST,10,0.0, , 
31,nba.p.6708,Dalen,Terry,SF,CHI,MIN,MIN@CHI,8:00PM EST,10,8.8, , 
32,nba.p.6731,E.J.,Liddell,C,CHI,MIN,MIN@CHI,8:00PM EST,10,2.5, , 
33,nba.p.10083,Julian,Phillips,PF,CHI,MIN,MIN@CHI,8:00PM EST,10,8.8, , 
34,nba.p.10126,Adama,Sanogo,C,CHI,MIN,MIN@CHI,8:00PM EST,10,3.4, , 
35,nba.p.10265,Matas,Buzelis,SF,CHI,MIN,MIN@CHI,8:00PM EST,12,6.9, , 
36,nba.p.4660,Patty,Mills,PG,UTA,MIL,UTA@MIL,8:00PM EST,10,8.4, , 
37,nba.p.5357,Jordan,Clarkson,SG,UTA,MIL,UTA@MIL,8:00PM EST,25,22.3,INJ, 
38,nba.p.5769,Lauri,Markkanen,SF,UTA,MIL,UTA@MIL,8:00PM EST,39,28.3,INJ, 
39,nba.p.5832,John,Collins,PF,UTA,MIL,UTA@MIL,8:00PM EST,28,33.5, , 
40,nba.p.6019,Collin,Sexton,PG,UTA,MIL,UTA@MIL,8:00PM EST,30,22.5, , 
41,nba.p.6058,Svi,Mykhailiuk,SG,UTA,MIL,UTA@MIL,8:00PM EST,10,11.2, , 
42,nba.p.6109,Drew,Eubanks,C,UTA,MIL,UTA@MIL,8:00PM EST,12,11.9, , 
43,nba.p.6575,Jason,Preston,PG,UTA,MIL,UTA@MIL,8:00PM EST,10,9.1, , 
44,nba.p.6655,Micah,Potter,PF,UTA,MIL,UTA@MIL,8:00PM EST,10,8.7, , 
45,nba.p.6712,Walker,Kessler,C,UTA,MIL,UTA@MIL,8:00PM EST,22,35.3, , 
46,nba.p.6762,Johnny,Juzang,SG,UTA,MIL,UTA@MIL,8:00PM EST,10,10.4, , 
47,nba.p.10100,Keyonte,George,PG,UTA,MIL,UTA@MIL,8:00PM EST,20,28.9, , 
48,nba.p.10110,Taylor,Hendricks,SF,UTA,MIL,UTA@MIL,8:00PM EST,18,20.0,INJ, 
49,nba.p.10122,Brice,Sensabaugh,SF,UTA,MIL,UTA@MIL,8:00PM EST,13,8.8, , 
50,nba.p.10127,Oscar,Tshiebwe,C,UTA,MIL,UTA@MIL,8:00PM EST,10,7.2, , 
51,nba.p.10282,Isaiah,Collier,PG,UTA,MIL,UTA@MIL,8:00PM EST,16,0.0,INJ, 
52,nba.p.10283,Cody,Williams,SF,UTA,MIL,UTA@MIL,8:00PM EST,17,11.9, , 
53,nba.p.10315,Kyle,Filipowski,C,UTA,MIL,UTA@MIL,8:00PM EST,16,11.6, , 
54,nba.p.4472,Brook,Lopez,C,MIL,UTA,UTA@MIL,8:00PM EST,25,28.5, , 
55,nba.p.5012,Damian,Lillard,PG,MIL,UTA,UTA@MIL,8:00PM EST,42,42.0, , 
56,nba.p.5073,Khris,Middleton,SF,MIL,UTA,UTA@MIL,8:00PM EST,31,31.2,INJ, 
57,nba.p.5185,Giannis,Antetokounmpo,PF,MIL,UTA,UTA@MIL,8:00PM EST,56,55.3,GTD, 
58,nba.p.5480,Delon,Wright,PG,MIL,UTA,UTA@MIL,8:00PM EST,10,5.4, , 
59,nba.p.5482,Bobby,Portis,C,MIL,UTA,UTA@MIL,8:00PM EST,23,27.3, , 
60,nba.p.5501,Pat,Connaughton,SF,MIL,UTA,UTA@MIL,8:00PM EST,10,11.7, , 
61,nba.p.5643,Taurean,Prince,SF,MIL,UTA,UTA@MIL,8:00PM EST,13,19.3, , 
62,nba.p.6048,Gary,Trent Jr.,SG,MIL,UTA,UTA@MIL,8:00PM EST,21,13.1, , 
63,nba.p.6714,MarJon,Beauchamp,SG,MIL,UTA,UTA@MIL,8:00PM EST,10,2.1, , 
64,nba.p.6734,Ryan,Rollins,PG,MIL,UTA,UTA@MIL,8:00PM EST,10,3.3, , 
65,nba.p.6755,AJ,Green,PG,MIL,UTA,UTA@MIL,8:00PM EST,10,9.1, , 
66,nba.p.6782,Stanley,Umude,SG,MIL,UTA,UTA@MIL,8:00PM EST,10,9.8, , 
67,nba.p.10082,Andre,Jackson Jr.,SF,MIL,UTA,UTA@MIL,8:00PM EST,10,9.3, , 
68,nba.p.10088,Chris,Livingston,PF,MIL,UTA,UTA@MIL,8:00PM EST,10,2.7, , 
69,nba.p.10227,Liam,Robbins,C,MIL,UTA,UTA@MIL,8:00PM EST,10,2.0, , 
70,nba.p.10262,Tyler,Smith,PF,MIL,UTA,UTA@MIL,8:00PM EST,10,1.9, , 
71,nba.p.10300,AJ,Johnson,SG,MIL,UTA,UTA@MIL,8:00PM EST,10,1.1, , 
72,nba.p.5350,Jerami,Grant,PF,POR,SA,POR@SA,8:00PM EST,29,32.7, , 
73,nba.p.5958,Deandre,Ayton,C,POR,SA,POR@SA,8:00PM EST,38,32.7, , 
74,nba.p.6035,Anfernee,Simons,SG,POR,SA,POR@SA,8:00PM EST,31,30.7, , 
75,nba.p.6038,Robert,Williams III,C,POR,SA,POR@SA,8:00PM EST,19,21.5, , 
76,nba.p.6208,Matisse,Thybulle,SF,POR,SA,POR@SA,8:00PM EST,16,16.9,INJ, 
77,nba.p.6401,Deni,Avdija,SF,POR,SA,POR@SA,8:00PM EST,30,26.1, , 
78,nba.p.6588,Dalano,Banton,PG,POR,SA,POR@SA,8:00PM EST,17,13.0, , 
79,nba.p.6697,Shaedon,Sharpe,SG,POR,SA,POR@SA,8:00PM EST,22,27.8,INJ, 
80,nba.p.6730,Bryce,McGowens,SG,POR,SA,POR@SA,8:00PM EST,10,9.6, , 
81,nba.p.6747,Jabari,Walker,PF,POR,SA,POR@SA,8:00PM EST,17,8.6, , 
82,nba.p.10048,Scoot,Henderson,PG,POR,SA,POR@SA,8:00PM EST,23,22.4, , 
83,nba.p.10061,Justin,Minaya,SF,POR,SA,POR@SA,8:00PM EST,10,6.1, , 
84,nba.p.10064,Rayan,Rupert,SF,POR,SA,POR@SA,8:00PM EST,10,10.8, , 
85,nba.p.10065,Toumani,Camara,PF,POR,SA,POR@SA,8:00PM EST,12,24.6, , 
86,nba.p.10119,Kris,Murray,SG,POR,SA,POR@SA,8:00PM EST,15,10.6, , 
87,nba.p.10164,Duop,Reath,C,POR,SA,POR@SA,8:00PM EST,12,3.3, , 
88,nba.p.10234,Taze,Moore,SG,POR,SA,POR@SA,8:00PM EST,10,9.5, , 
89,nba.p.10285,Donovan,Clingan,C,POR,SA,POR@SA,8:00PM EST,18,15.8, , 
90,nba.p.3930,Chris,Paul,PG,SA,POR,POR@SA,8:00PM EST,22,29.9, , 
91,nba.p.5013,Harrison,Barnes,SF,SA,POR,POR@SA,8:00PM EST,15,16.7, , 
92,nba.p.5823,Zach,Collins,C,SA,POR,POR@SA,8:00PM EST,19,13.7, , 
93,nba.p.6217,Keldon,Johnson,SF,SA,POR,POR@SA,8:00PM EST,27,22.0, , 
94,nba.p.6403,Devin,Vassell,SG,SA,POR,POR@SA,8:00PM EST,30,32.8,INJ, 
95,nba.p.6433,Tre,Jones,PG,SA,POR,POR@SA,8:00PM EST,20,11.7,INJ, 
96,nba.p.6595,Charles,Bassey,C,SA,POR,POR@SA,8:00PM EST,10,5.0, , 
97,nba.p.6596,Sandro,Mamukelashvili,C,SA,POR,POR@SA,8:00PM EST,12,9.2, , 
98,nba.p.6624,David,Duke Jr.,SF,SA,POR,POR@SA,8:00PM EST,10,6.0, , 
99,nba.p.6699,Jeremy,Sochan,PF,SA,POR,POR@SA,8:00PM EST,23,31.2,INJ, 
100,nba.p.6710,Malaki,Branham,SG,SA,POR,POR@SA,8:00PM EST,10,14.2, , 
101,nba.p.6715,Blake,Wesley,PG,SA,POR,POR@SA,8:00PM EST,10,5.4, , 
102,nba.p.6754,Julian,Champagnie,SF,SA,POR,POR@SA,8:00PM EST,15,21.7, , 
103,nba.p.10051,Sidy,Cissoko,SF,SA,POR,POR@SA,8:00PM EST,10,3.4, , 
104,nba.p.10094,Victor,Wembanyama,C,SA,POR,POR@SA,8:00PM EST,56,45.8, , 
105,nba.p.10290,Stephon,Castle,SG,SA,POR,POR@SA,8:00PM EST,17,14.5, , 
106,nba.p.10336,Harrison,Ingram,PF,SA,POR,POR@SA,8:00PM EST,10,1.2, , 
107,nba.p.10367,Riley,Minix,SF,SA,POR,POR@SA,8:00PM EST,10,2.4, , 
