,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4472,Brook,Lopez,C,MIL,MEM,MIL@MEM,8:00PM EDT,25,31.5, , ,2024-10-31,4472,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,4472,P,11.3,5.5,1.8,1.0,3.3,1.8,31.7,38.2,24.8,20.3,31.050000000000004,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.6140081375009434
1,nba.p.5012,Damian,Lillard,PG,MIL,MEM,MIL@MEM,8:00PM EDT,42,43.6, , ,2024-10-31,5012,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,5012,P,28.0,6.0,6.3,0.5,0.3,3.3,43.75,59.9,27.8,39.8,44.949999999999996,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.5290941220126409
2,nba.p.5073,Khris,Middleton,SF,MIL,MEM,MIL@MEM,8:00PM EDT,31,31.2,INJ, ,2024-10-31,5073,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,5073,P,,,,,,,0.0,,,,,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,
3,nba.p.5185,Giannis,Antetokounmpo,PF,MIL,MEM,MIL@MEM,8:00PM EDT,55,50.2,GTD, ,2024-10-31,5185,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,5185,P,28.8,11.8,6.3,0.3,0.5,4.3,50.51,44.0,48.9,55.7,48.63,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.43711339081643796
4,nba.p.5480,Delon,Wright,PG,MIL,MEM,MIL@MEM,8:00PM EDT,10,5.6, , ,2024-10-31,5480,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,5480,P,1.8,0.5,1.0,0.5,0.3,0.5,5.8,0.5,4.4,12.5,4.52,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.22345545744800838
5,nba.p.5482,Bobby,Portis,C,MIL,MEM,MIL@MEM,8:00PM EDT,23,25.0, , ,2024-10-31,5482,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,5482,P,11.3,7.8,1.5,0.8,0.8,2.3,25.41,10.2,34.0,26.9,22.55,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.48469801514549715
6,nba.p.5501,Pat,Connaughton,SF,MIL,MEM,MIL@MEM,8:00PM EDT,10,10.7, , ,2024-10-31,5501,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,5501,P,5.0,3.5,1.0,0.0,0.3,0.8,10.8,7.4,8.6,8.5,9.07,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.44839402633925574
7,nba.p.5643,Taurean,Prince,SF,MIL,MEM,MIL@MEM,8:00PM EDT,13,19.3, , ,2024-10-31,5643,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,5643,P,8.3,6.0,1.8,0.8,0.0,1.0,19.6,10.3,13.9,26.6,16.25,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.6179631013495808
8,nba.p.6048,Gary,Trent Jr.,SG,MIL,MEM,MIL@MEM,8:00PM EDT,22,16.2, , ,2024-10-31,6048,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,6048,P,10.0,1.5,1.3,1.0,0.0,0.5,16.25,21.1,10.0,20.2,16.830000000000002,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.37819341802594336
9,nba.p.6714,MarJon,Beauchamp,SG,MIL,MEM,MIL@MEM,8:00PM EDT,10,1.8, , ,2024-10-31,6714,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,6714,P,1.8,0.0,0.0,0.3,0.0,0.8,1.9,3.0,5.0,-1.0,2.52,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.12458136123207546
10,nba.p.6734,Ryan,Rollins,PG,MIL,MEM,MIL@MEM,8:00PM EDT,10,0.7, , ,2024-10-31,6734,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,6734,P,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.0,0.0,0.6799999999999999,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.033617192713417184
11,nba.p.6755,AJ,Green,PG,MIL,MEM,MIL@MEM,8:00PM EDT,10,6.5, , ,2024-10-31,6755,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,6755,P,4.3,0.5,0.8,0.3,0.0,0.3,6.7,4.2,5.5,11.7,6.130000000000001,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.30304910490183434
