,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,FPS4,FPS5,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4901,Tobias,Harris,SF,DET,CHA,DET@CHA,7:00PM EST,30,29.6, , ,2024-11-06,4901,0,Tobias Harris,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,4901,P,13.0,7.8,2.5,0.6,1.1,1.8,29.41,28.9,32.0,36.1,38.3,26.5,44.915000000000006,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.5538825621241349
1,nba.p.5194,Tim,Hardaway Jr.,SG,DET,CHA,DET@CHA,7:00PM EST,19,17.2, , ,2024-11-06,5194,0,Tim Hardaway Jr.,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,5194,P,13.6,0.9,1.8,0.1,0.0,0.5,17.18,20.5,17.0,12.7,19.5,20.5,27.065,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.5269895138966482
2,nba.p.5650,Malik,Beasley,SG,DET,CHA,DET@CHA,7:00PM EST,14,16.5, , ,2024-11-06,5650,0,Malik Beasley,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,5650,P,11.4,2.3,1.1,0.5,0.1,1.1,16.51,12.3,26.7,9.5,18.1,6.5,22.255000000000003,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.5880944841878764
3,nba.p.6408,Isaiah,Stewart,PF,DET,CHA,DET@CHA,7:00PM EST,16,19.2, , ,2024-11-06,6408,0,Isaiah Stewart,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6408,P,3.6,6.8,1.9,0.6,1.4,1.4,19.21,27.799999999999997,13.0,16.4,35.7,20.0,33.364999999999995,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.7714693734806752
4,nba.p.6450,Paul,Reed,C,DET,CHA,DET@CHA,7:00PM EST,17,9.3, , ,2024-11-06,6450,0,Paul Reed,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6450,P,2.5,1.5,1.0,0.5,1.0,1.0,9.3,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
5,nba.p.6512,Cade,Cunningham,PG,DET,CHA,DET@CHA,7:00PM EST,36,41.6, , ,2024-11-06,6512,0,Cade Cunningham,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6512,P,23.3,6.4,7.4,0.6,0.9,4.9,41.68,43.7,26.7,40.2,39.5,46.6,58.625,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.6024595570248876
6,nba.p.6695,Jaden,Ivey,SG,DET,CHA,DET@CHA,7:00PM EST,27,31.2, , ,2024-11-06,6695,0,Jaden Ivey,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6695,P,19.6,4.5,3.6,1.0,0.3,3.0,31.3,38.8,30.5,15.0,33.1,26.3,45.82,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.6278253737684232
7,nba.p.6703,Jalen,Duren,C,DET,CHA,DET@CHA,7:00PM EST,27,28.8, , ,2024-11-06,6703,0,Jalen Duren,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6703,P,9.0,10.5,2.6,0.4,1.4,2.0,28.9,33.3,47.4,16.4,6.699999999999999,35.2,42.285,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.5793888243081137
8,nba.p.6716,Wendell,Moore Jr.,PG,DET,CHA,DET@CHA,7:00PM EST,10,1.2, , ,2024-11-06,6716,0,Wendell Moore Jr.,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6716,P,0.7,0.3,0.3,0.0,0.0,0.3,1.21,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
9,nba.p.6749,Alondes,Williams,PG,DET,CHA,DET@CHA,7:00PM EST,10,1.0, , ,2024-11-06,6749,0,Alondes Williams,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6749,P,,,,,,,0.0,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
