,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPPG_std,FPS1,FPS2,FPS3,FPS4,FPS5,C,PF,PG,SF,SG,U,F,G,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score,log_Value_Score_with_std
0,nba.p.4886,Jonas,Valanciunas,C,WAS,MEM,WAS@MEM,8:00PM EST,27,27.0, , ,2024-11-08,4886,0,Jonas Valanciunas,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,4886,P,12.8,8.2,3.3,0.3,0.2,2.2,26.89,9.676500744931852,39.9,17.9,37.6,19.799999999999997,19.6,True,False,False,False,False,1,0,0,38.08,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,0.4198056067369021,-2.017525168661056
1,nba.p.5497,Richaun,Holmes,C,WAS,MEM,WAS@MEM,8:00PM EST,13,0.0, , ,2024-11-08,5497,0,Richaun Holmes,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,5497,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,False,False,False,False,1,0,0,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
2,nba.p.5667,Malcolm,Brogdon,PG,WAS,MEM,WAS@MEM,8:00PM EST,26,29.7,INJ, ,2024-11-08,5667,0,Malcolm Brogdon,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,5667,P,,,,,,,0.0,,,,,,,False,False,True,False,False,1,0,1,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
3,nba.p.5840,Kyle,Kuzma,PF,WAS,MEM,WAS@MEM,8:00PM EST,34,30.6,INJ, ,2024-11-08,5840,0,Kyle Kuzma,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,5840,P,17.0,7.0,3.7,0.3,0.3,2.3,30.45,,,,,,,False,True,False,False,False,1,1,0,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
4,nba.p.5959,Marvin,Bagley III,C,WAS,MEM,WAS@MEM,8:00PM EST,19,8.3,GTD, ,2024-11-08,5959,0,Marvin Bagley III,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,5959,P,4.2,3.2,0.2,0.0,0.2,0.6,8.34,7.509860185116631,1.2,3.2,4.4,17.2,15.7,True,False,False,False,False,1,0,0,12.765,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,0.19997802602541326,-1.9589222679885052
5,nba.p.6216,Jordan,Poole,SG,WAS,MEM,WAS@MEM,8:00PM EST,28,40.4, , ,2024-11-08,6216,0,Jordan Poole,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6216,P,22.5,1.2,5.0,2.8,1.2,3.0,40.44,7.002285341229676,49.7,33.5,45.1,37.7,32.2,False,False,False,False,True,1,0,1,57.5,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,0.6112584450583739,-1.6027116519722526
6,nba.p.6411,Saddiq,Bey,PF,WAS,MEM,WAS@MEM,8:00PM EST,19,25.8,INJ, ,2024-11-08,6411,0,Saddiq Bey,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6411,P,,,,,,,0.0,,,,,,,False,True,False,False,False,1,1,0,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
7,nba.p.6471,Anthony,Gill,SF,WAS,MEM,WAS@MEM,8:00PM EST,10,1.8, , ,2024-11-08,6471,0,Anthony Gill,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6471,P,0.5,0.0,0.5,0.3,0.0,0.3,1.85,,,,,,,False,False,False,True,False,1,1,0,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
8,nba.p.6557,Corey,Kispert,SG,WAS,MEM,WAS@MEM,8:00PM EST,18,17.3, , ,2024-11-08,6557,0,Corey Kispert,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6557,P,10.2,3.2,1.7,0.3,0.2,0.7,17.39,6.6142270901443965,14.5,11.1,20.2,29.3,13.2,False,False,False,False,True,1,0,1,25.125,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,0.4154785662788078,-1.6825507995566635
9,nba.p.6582,Jared,Butler,PG,WAS,MEM,WAS@MEM,8:00PM EST,10,11.9, , ,2024-11-08,6582,0,Jared Butler,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6582,P,5.6,0.6,2.4,0.6,0.2,0.4,11.92,4.870010266929629,11.5,10.0,6.4,19.7,12.0,False,False,True,False,False,1,0,1,18.455000000000002,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,0.5493246763468942,-1.3320372395794209
10,nba.p.6632,Justin,Champagnie,SF,WAS,MEM,WAS@MEM,8:00PM EST,13,3.9, , ,2024-11-08,6632,0,Justin Champagnie,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6632,P,0.0,2.0,1.0,0.0,0.0,0.0,3.9,,,,,,,False,False,False,True,False,1,1,0,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
11,nba.p.6700,Johnny,Davis,SG,WAS,MEM,WAS@MEM,8:00PM EST,10,6.3, , ,2024-11-08,6700,0,Johnny Davis,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6700,P,3.4,1.6,0.4,0.2,0.0,0.2,6.32,9.04140475811143,5.0,21.9,0.0,4.7,0.0,False,False,False,False,True,1,0,1,9.575,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,0.28500589412200006,-2.0559537154207557
12,nba.p.6718,Patrick,Baldwin Jr.,PF,WAS,MEM,WAS@MEM,8:00PM EST,11,7.3, , ,2024-11-08,6718,0,Patrick Baldwin Jr.,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,6718,P,4.3,1.0,0.3,0.3,0.3,0.0,7.75,,,,,,,False,True,False,False,False,1,1,0,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
13,nba.p.10078,Tristan,Vukcevic,C,WAS,MEM,WAS@MEM,8:00PM EST,17,17.4, , ,2024-11-08,10078,0,Tristan Vukcevic,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,10078,P,,,,,,,0.0,,,,,,,True,False,False,False,False,1,0,0,,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,,
14,nba.p.10099,Bilal,Coulibaly,SF,WAS,MEM,WAS@MEM,8:00PM EST,20,29.7, , ,2024-11-08,10099,0,Bilal Coulibaly,109.15,118.42,115.87,112.2,2.0,5.0,4.0,4.0,1.0,6.0,5.0,3.0,-9.5,3.78,4.29,-4.26,-5.21,-0.48,109.3,115.8,118.4,112.1,104.0,102.5,0.25,0.273,0.429,0.364,0.551,0.534,11.9,12.6,21.1,27.7,0.235,0.204,71.7,75.1,Capital One Arena,FedEx Forum,84023.0,81631.0,10099,P,17.7,5.8,2.5,1.0,0.2,2.2,29.81,11.7936847507469,13.8,34.6,49.3,27.9,28.7,False,False,False,True,False,1,1,0,39.555,0.95,1.0,1.0915000000000001,1.0325,3.4159999999999995,1.3350000000000002,0.29274004683840754,0.749063670411985,0.32962529274004687,0.8434456928838949,0.5886897202086534,-2.0860420691713526
